ImageNumber,ObjectNumber,FileName_DNA,FileName_FActin,FileName_SMAD,FileName_YAP,PathName_DNA,PathName_FActin,PathName_SMAD,PathName_YAP,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_FormFactor,AreaShape_MeanRadius,AreaShape_MedianRadius,Intensity_IntegratedIntensity_FActin,Intensity_IntegratedIntensity_SMAD,Intensity_IntegratedIntensity_YAP,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_FActin,Intensity_MeanIntensity_SMAD,Intensity_MeanIntensity_YAP,Intensity_StdIntensity_FActin,Intensity_StdIntensity_SMAD,Intensity_StdIntensity_YAP
1,11,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,1912,10.634641928241157,0.8004032856584045,0.0940323150274029,2.938806992887493,2.23606797749979,43.505897687515244,23.633142792154104,28.075684926006943,0.002752449834367619,0.022754130589704626,0.012360430330624532,0.01468393563075677,0.014889075279644655,0.010603611585626123,0.010520880383968072
1,12,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,1940,8.75271260594936,0.6189624607880333,0.11425029531076843,3.0950276629713986,2.8284271247461903,29.90090809506364,27.314091876149178,22.475669709965587,0.003099807390352692,0.015412839224259609,0.014079428802138751,0.01158539675771422,0.009203164776962824,0.011675590746526776,0.007291793311750157
1,13,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,2547,5.8039003523297525,0.8313507515468637,0.17229792713422248,4.266443246939877,3.605551275463989,49.52930518123321,34.935012054862455,37.3702908908017,0.003301837875825526,0.019446134739392704,0.013716141364296212,0.014672277538595091,0.013810099162611767,0.009470790215352659,0.009600714225488008
1,14,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,3267,8.355216165880424,0.913047714340641,0.1196857125113801,4.321726038734732,3.605551275463989,83.54416746366769,35.39655184419826,47.80602762592025,0.0032719462640460363,0.025572135740332933,0.010834573567247706,0.014633005089048133,0.01381501196963533,0.006324235150853206,0.007719502820101991
1,15,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,934,5.056820923851854,0.7974587125483569,0.19775270175837778,2.838155763108965,2.23606797749979,16.646204421063885,9.96061657462269,11.616266201948747,0.003975645056177864,0.01782248867351594,0.010664471707304808,0.012437115847910863,0.011101862732663365,0.00652978695225012,0.007052098352749822
1,16,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,700,6.338996200790363,0.8757120362507842,0.15775368344207516,2.3497395897567848,2.0,7.372182870283723,8.284840246662498,9.127870648633689,0.004782918654049614,0.010531689814691032,0.011835486066660711,0.013039815212333841,0.006154896678398564,0.007482096240167435,0.008599108744299234
1,17,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,1432,11.75827755625827,0.7868871225899835,0.08504647004762668,2.4004475415437736,2.0,21.3598688992206,14.280583059415221,20.285618502646685,0.0035562685080452734,0.014916109566494832,0.00997247420350225,0.014165934708552154,0.010620340611652778,0.006961944812169723,0.010106756878889336
1,18,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,1439,8.721392833408368,0.8333890583884335,0.11466058450771499,3.7305116619115615,2.8284271247461903,18.105882498202845,20.933379208901897,17.16937529295683,0.003039090303267929,0.012582267198195166,0.01454717109722161,0.011931463024987373,0.007764685031328636,0.011771786859039908,0.007136136932527504
1,19,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,1583,9.414344957146485,0.49804446480025444,0.10622087936568483,3.045960625005361,2.23606797749979,15.746318929828703,24.98603810602799,21.081651193322614,0.0028897290865508856,0.009947137668874733,0.015783978588773208,0.013317530760153263,0.0065063694289780125,0.013614626902996373,0.009926272246271366
1,20,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,2372,7.159539085241346,0.6170995567401909,0.13967379577009326,4.008970282331707,3.605551275463989,37.61207013763487,28.7810790813528,46.14779911423102,0.002994621660196007,0.015856690614517232,0.012133675835308938,0.019455227282559454,0.009143177611200969,0.007703355481887019,0.013575432613432309
