ImageNumber,ObjectNumber,FileName_DNA,FileName_FActin,FileName_SMAD,FileName_YAP,PathName_DNA,PathName_FActin,PathName_SMAD,PathName_YAP,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_FormFactor,AreaShape_MeanRadius,AreaShape_MedianRadius,Intensity_IntegratedIntensity_FActin,Intensity_IntegratedIntensity_SMAD,Intensity_IntegratedIntensity_YAP,Intensity_MeanIntensity_FActin,Intensity_MeanIntensity_SMAD,Intensity_MeanIntensity_YAP,Intensity_StdIntensity_FActin,Intensity_StdIntensity_SMAD,Intensity_StdIntensity_YAP
1,11,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,2097,5610,7.689029871015011,0.8007086779079762,0.13005541879472401,4.601916431389286,3.0,47.27441834961064,29.527321489993483,33.4460824416019,0.0225438332616169,0.014080744630421308,0.01594949091158889,0.014431980895544115,0.011561786986703975,0.01087907042542298
1,12,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,2184,5762,5.788407594186888,0.6087112126938636,0.17275908507276988,5.395105617999784,4.0,35.4871902524028,35.91039916500449,28.204638995230198,0.016248713485532418,0.01644249046016689,0.01291421199415302,0.00930228197118088,0.01292271361169652,0.007847247699140473
1,13,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,3076,5208,2.782367478668061,0.826475617801941,0.359406155968552,7.294968620575045,6.324555320336759,58.440100990002975,48.46834544208832,50.623895906377584,0.018998732441483413,0.015756939350483848,0.0164577034806169,0.012820007721624258,0.009772269921240495,0.009644041407115514
1,14,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,3985,7605,3.4671440707646863,0.9092464718186338,0.2884218191081537,7.462680790134461,6.708203932499369,101.11070447787642,49.136934933718294,63.28294842247851,0.02537282421025757,0.012330473007206598,0.01588028818631832,0.013202130931746086,0.006763441204620122,0.007549766004039015
1,15,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,1099,2408,2.589134560999682,0.7932317087535196,0.3862294432522246,4.48235590634755,4.0,18.11828806134872,14.127550294622779,14.563988807378337,0.016486158381572996,0.012854913825862402,0.013252037131372463,0.0108723281882694,0.008114896426060404,0.006821913383185003
1,16,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,859,1976,3.0554650237193197,0.8793679416178299,0.32728242419307163,3.9298606374726246,3.1622776601683795,8.882398798828945,12.748363567516208,12.50542465550825,0.010340394410743824,0.01484093546858697,0.014558119505830325,0.005958293977628304,0.00934595504540314,0.008410638897194012
1,17,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,1809,3910,6.25481463785631,0.7839225755231892,0.15987684014609366,4.9813162299007505,3.605551275463989,26.783718795748428,23.039292191155255,29.03230352140963,0.014805814701906261,0.01273592713717814,0.016048813444670885,0.009605076651733426,0.008330713033525873,0.009774769855863868
1,18,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,1604,4628,6.036277228458923,0.847122955870974,0.16566502202472608,4.305611820794777,3.605551275463989,18.989334099460393,25.83002985850908,19.920576967298985,0.0118387369697384,0.016103509886851046,0.012419312323752485,0.007721528369593011,0.012277106083023664,0.006940766448668403
1,19,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,1744,5440,6.6747703113451795,0.5007204817764581,0.1498178893587228,4.4264225367436865,3.1622776601683795,16.706782821798697,31.362157736439258,25.46758238528855,0.009579577306077235,0.01798288861034361,0.014602971551197564,0.006320289928738059,0.014758578273870407,0.010303818419839093
1,20,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,2581,5183,4.907217413197545,0.6115804493769034,0.20378147446872538,6.874134912511604,5.385164807134504,40.32030240772292,34.06315739406273,53.621957967523485,0.015621969162232824,0.013197658812112642,0.020775652060257065,0.008862471517464303,0.008220628436090269,0.013763785400953889
