ImageNumber,ObjectNumber,FileName_DNA,FileName_FActin,FileName_SMAD,FileName_YAP,PathName_DNA,PathName_FActin,PathName_SMAD,PathName_YAP,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_FormFactor,Intensity_IntegratedIntensity_FActin,Intensity_IntegratedIntensity_SMAD,Intensity_IntegratedIntensity_YAP,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_FActin,Intensity_MeanIntensity_SMAD,Intensity_MeanIntensity_YAP,Intensity_StdIntensity_FActin,Intensity_StdIntensity_SMAD,Intensity_StdIntensity_YAP,Math_SMADlogNucbyCyto,Math_SMADlogNucbyPerinuc,Math_YAPlogNucbyCyto,Math_YAPlogNucbyPerinuc
1,11,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,255,1.0389120238064447,0.6177844164727477,0.9625454100878765,5.78689251979813,8.253879619762301,7.562813777476549,0.029813974555216585,0.022693696156071096,0.03236815537161687,0.029658093245006074,0.010981622517534215,0.0034783518590404626,0.0034395478837309697,2.6186916236581723,1.4404368225710387,2.019764591100811,1.2133075408461556
1,12,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,322,1.066706573853314,0.7029156545572467,0.9374649266364351,7.381750242784619,11.518165839836001,7.584786802530289,0.023937661813930696,0.02292469019498329,0.035770701365950314,0.02355523851717481,0.00770899627316363,0.004313168610207815,0.0020715317118660385,2.5406358360586707,1.5219156127268187,2.0331835853174716,1.2671281449629963
1,13,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,659,1.34140823992293,0.8010594485632005,0.7454852074395,12.048752636648715,16.319569753482938,16.380453277379274,0.030067659545638944,0.018283387916007154,0.024764142266286704,0.024856530011197683,0.007255043308075639,0.003322465481242175,0.0030549541206457967,1.8054744121221278,1.3639860695710229,1.6941153100337114,1.2071470018801553
1,14,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,930,2.5363232397648376,0.7573802628269409,0.39427151252721154,23.408987631089985,17.200702028349042,19.817059664055705,0.03169175796611335,0.025170954442032243,0.018495378525106496,0.021308666305436243,0.009965823462541948,0.004006019554369788,0.0031861434187840532,1.707070279260179,1.4345152650316924,1.4562057605914738,1.213070667659757
1,15,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,233,1.1045911326176598,0.7730036502562833,0.9053123553782295,2.5068437051959336,5.404074186924845,4.16638439334929,0.03224951711926977,0.010758985859210016,0.023193451446029377,0.01788147808304416,0.007742597757141681,0.005409846212450585,0.002370402538049748,2.174833604757246,1.8425339130901892,1.4377511877922902,1.2354743144548033
1,16,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,229,1.1568671007451679,0.8244536122501422,0.86440352513774,2.1725795578677207,5.916304289363325,4.794079534709454,0.03333883058670176,0.0094872469775883,0.025835389909883513,0.020934845129735605,0.004773155594574829,0.005025318771067362,0.001957320575882374,2.182875275622099,1.9844971565384268,1.605455659366566,1.4294485692335557
1,17,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,481,1.2024944643864677,0.6350194923080977,0.831604659827034,6.9498894312419,10.738613008521497,11.25694672204554,0.032086265170772454,0.014448834576386486,0.022325598770314963,0.023403215638348317,0.004205206734763486,0.0037277415718308497,0.002829525759508875,2.238722138030139,1.748044984441781,1.652077051027173,1.152546133607868
1,18,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,245,1.4629633721597244,0.9007528942940781,0.683544112607367,1.3117418317124248,6.219043267890811,3.823376857675612,0.03259844018184409,0.0053540482927037746,0.02538385007302372,0.015605619827247395,0.0026068515873398754,0.008770374164165602,0.002421083994190102,1.7449337677668357,2.776448446063727,1.3079384979499535,1.6778980079027495
1,19,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,223,0.9883468509494655,0.36975922159222335,1.0117905460409367,1.432669590227306,8.970275415107608,6.21542689204216,0.03430494981412797,0.0064245273104363496,0.04022545029196237,0.027871869471041075,0.001817552362646053,0.005010900648788234,0.002527300759651092,2.54849878728129,1.4543902826162969,2.0928706659672334,1.272810081696059
1,20,ctrl_002_DAPI.tif,ctrl_002_W647.tif,ctrl_002_G488.tif,ctrl_002_R555.tif,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,/Volumes/D/YAPSMAD_Nuclear_Localization/251219_YAPSMAD_Early_D14_Male_#3/tifs,293,1.2196358481261407,0.8497990768966945,0.8199168641495811,3.915129355620593,7.280048877000809,10.481559503823519,0.02425064804165945,0.013362216230787006,0.024846583197954977,0.035773240627384024,0.00365867041296889,0.0018658176315205703,0.001897029609435023,2.0477375145997834,1.1795194646605829,1.8387469911211356,1.0580139379228932
